1_NMI:0.0,1_modularity:-9.25908373362e-17
2_NMI:0.0,2_modularity:4.03255533647e-16
3_NMI:0.0,3_modularity:2.45665857781e-16
4_NMI:0.0,4_modularity:-1.12803507863e-16
5_NMI:0.0,5_modularity:-5.53278396819e-16
6_NMI:0.0,6_modularity:3.76228028189e-16
7_NMI:0.0,7_modularity:-3.3371700545e-18
8_NMI:0.0,8_modularity:1.88263777507e-16
9_NMI:0.0,9_modularity:-3.11235989329e-16
10_NMI:0.0,10_modularity:9.43421300756e-17
11_NMI:0.0,11_modularity:6.30909962125e-17
12_NMI:0.0,12_modularity:-1.90627588223e-17
13_NMI:0.0,13_modularity:1.78376742267e-16
14_NMI:0.0,14_modularity:2.19251831171e-16
15_NMI:0.0,15_modularity:-6.18488008698e-16
16_NMI:0.0,16_modularity:5.03239980881e-16
17_NMI:0.0,17_modularity:-1.8965443584e-16
18_NMI:0.0,18_modularity:-2.18205110758e-16
19_NMI:0.0,19_modularity:-2.0688357843e-16
20_NMI:0.0,20_modularity:-1.41453223251e-16
21_NMI:0.0,21_modularity:1.75935017217e-16
22_NMI:0.0,22_modularity:-8.54929176127e-17
23_NMI:0.0,23_modularity:1.70360974353e-16
